val_loss,val_mean_squared_error,loss,mean_squared_error
0.011447187850687528,0.011447187850687528,0.02951961250868389,0.02951961250868389
0.011693539593493264,0.011693539593493264,0.013803231266090425,0.013803231266090425
0.007101442798933823,0.007101442798933823,0.010234429885649075,0.010234429885649075
0.0044280326336258325,0.0044280326336258325,0.008569380175006592,0.008569380175006592
0.006025261002662173,0.006025261002662173,0.007156820633464445,0.007156820633464445
0.0036984697740841035,0.0036984697740841035,0.006432148287798894,0.006432148287798894
0.0065297322170593435,0.0065297322170593435,0.006104545196802434,0.006104545196802434
0.0030786519879738594,0.0030786519879738594,0.005621698362405523,0.005621698362405523
0.003114148735602633,0.003114148735602633,0.005281300455426513,0.005281300455426513
0.002958893243841118,0.002958893243841118,0.00514831082024059,0.00514831082024059
